Name,State,Notes,User,Tags,Created,Runtime,Sweep,Parameters,Test Eval Time,Test R2,Test RMSE,Train Epoch R2,Train Epoch RMSE,Train Eval Time,Train Loss
esol_rand_2d_0_2d_drop0.1_ldist0.0_lattn0.5_Ndense1_heads2_dmodel8_nsl8_epochs2000_dyn0_seed0,finished,-,paf46,,2021-04-23T17:48:29.000Z,8705,,3393,0.180525303,0.915500226,0.316850428,0.957266318,0.297379274,1.197091341,0.046509907
esol_rand_2d_1_2d_drop0.1_ldist0.0_lattn0.5_Ndense1_heads2_dmodel8_nsl8_epochs2000_dyn0_seed1,finished,-,paf46,,2021-04-23T17:48:29.000Z,8909,,3393,0.175288916,0.920377984,0.299697585,0.953745083,0.256725264,1.178594589,0.028675061
esol_rand_2d_5_2d_drop0.1_ldist0.0_lattn0.5_Ndense1_heads2_dmodel8_nsl8_epochs5000_dyn0_seed5,finished,-,paf46,,2021-04-23T17:48:30.000Z,22169,,3393,0.170092106,0.928016852,0.279826524,0.96588608,0.207752421,1.133593798,0.013310485
esol_rand_2d_5_2d_drop0.1_ldist0.0_lattn0.5_Ndense1_heads2_dmodel8_nsl8_epochs2000_dyn0_seed5,finished,-,paf46,,2021-04-23T17:48:30.000Z,11809,,3393,0.318937778,0.933285148,0.261393178,0.953229032,0.225418894,2.158479691,0.068936616
esol_rand_2d_3_2d_drop0.1_ldist0.0_lattn0.5_Ndense1_heads2_dmodel8_nsl8_epochs5000_dyn0_seed3,finished,-,paf46,,2021-04-23T17:48:30.000Z,22378,,3393,0.175694227,0.932556904,0.279692492,0.963915883,0.211559439,1.123123407,0.048914801
esol_rand_2d_0_2d_drop0.1_ldist0.0_lattn0.5_Ndense1_heads2_dmodel8_nsl8_epochs5000_dyn0_seed0,finished,-,paf46,,2021-04-23T17:48:30.000Z,29176,,3393,0.261881113,0.9143427,0.289294531,0.968088261,0.206499629,1.729715824,0.017578529
esol_rand_2d_4_2d_drop0.1_ldist0.0_lattn0.5_Ndense1_heads2_dmodel8_nsl8_epochs5000_dyn0_seed4,finished,-,paf46,,2021-04-23T17:48:30.000Z,21957,,3393,0.177283525,0.912306078,0.289845586,0.970211656,0.201933946,1.539030075,0.015802886
esol_rand_2d_2_2d_drop0.1_ldist0.0_lattn0.5_Ndense1_heads2_dmodel8_nsl8_epochs5000_dyn0_seed2,finished,-,paf46,,2021-04-23T17:48:30.000Z,29389,,3393,0.255306959,0.920954414,0.369962828,0.967699021,0.301998976,1.769704103,0.029181454
esol_rand_2d_1_2d_drop0.1_ldist0.0_lattn0.5_Ndense1_heads2_dmodel8_nsl8_epochs5000_dyn0_seed1,finished,-,paf46,,2021-04-23T17:48:30.000Z,29520,,3393,0.236804962,0.930239574,0.269920708,0.963316719,0.206147271,1.709848166,0.039191425
esol_rand_2d_4_2d_drop0.1_ldist0.0_lattn0.5_Ndense1_heads2_dmodel8_nsl8_epochs2000_dyn0_seed4,finished,-,paf46,,2021-04-23T17:48:30.000Z,11726,,3393,0.321377754,0.914370746,0.290854442,0.958669977,0.231007548,2.140509367,0.024666421
esol_rand_2d_3_2d_drop0.1_ldist0.0_lattn0.5_Ndense1_heads2_dmodel8_nsl8_epochs2000_dyn0_seed3,finished,-,paf46,,2021-04-23T17:48:31.000Z,10480,,3393,0.225888729,0.923043215,0.284209299,0.949111533,0.22986198,1.498733521,0.072721608
